text,intent,confidence
"Where is my order?",order_status,0.77
"When will my package arrive?",order_status,0.91
"Track my order please",order_status,0.75
"Order tracking update needed",order_status,0.83
"Has my order shipped yet?",order_status,0.9
"I want to return this product",return_request,0.82
"How do I initiate a return?",return_request,0.94
"Return policy for electronics",return_request,0.79
"Can I return after 7 days?",return_request,0.95
"Return pickup scheduling",return_request,0.81
"When will I get my refund?",refund_enquiry,0.79
"Refund not received yet",refund_enquiry,0.85
"Refund status update",refund_enquiry,0.82
"Money not credited back",refund_enquiry,0.75
"How long does refund take?",refund_enquiry,0.89
"My order is delayed",delivery_delay,0.86
"Expected delivery was yesterday",delivery_delay,0.87
"Package not delivered on time",delivery_delay,0.75
"Delivery date passed no update",delivery_delay,0.8
"Late shipment complaint",delivery_delay,0.93
"Is this product available in blue?",product_query,0.79
"Size chart for shirts",product_query,0.79
"Product specifications",product_query,0.87
"Compatible accessories",product_query,0.81
"Stock availability query",product_query,0.77
"Very bad experience",complaint,0.91
"Wrong item delivered",complaint,0.78
"Damaged product received",complaint,0.84
"Poor quality product",complaint,0.75
"I am very unhappy with service",complaint,0.86
"Sample message 0 about delivery_delay",delivery_delay,0.86
"Sample message 1 about delivery_delay",delivery_delay,0.75
"Sample message 2 about refund_enquiry",refund_enquiry,0.82
"Sample message 3 about return_request",return_request,0.81
"Sample message 4 about delivery_delay",delivery_delay,0.96
"Sample message 5 about complaint",complaint,0.74
"Sample message 6 about product_query",product_query,0.86
"Sample message 7 about product_query",product_query,0.94
"Sample message 8 about refund_enquiry",refund_enquiry,0.89
"Sample message 9 about order_status",order_status,0.88
"Sample message 10 about delivery_delay",delivery_delay,0.83
"Sample message 11 about delivery_delay",delivery_delay,0.74
"Sample message 12 about refund_enquiry",refund_enquiry,0.82
"Sample message 13 about order_status",order_status,0.94
"Sample message 14 about product_query",product_query,0.96
"Sample message 15 about order_status",order_status,0.86
"Sample message 16 about product_query",product_query,0.95
"Sample message 17 about return_request",return_request,0.76
